subregion,"Age-Adjusted Incidence Rate - cases per 100,000",Number Primary Physicians
kiowa,473,0
mineral,451,1
phillips,433,6
hinsdale,429,0
el paso,428,416
denver,423,910
pueblo,420,104
fremont,418,23
cheyenne,417,1
jefferson,413,470
teller,408,14
broomfield,408,68
arapahoe,403,536
custer,402,2
adams,397,213
clear creek,395,
douglas,394,225
yuma,392,4
huerfano,391,6
prowers,389,4
garfield,389,51
elbert,387,5
mesa,386,163
moffat,383,6
alamosa,382,12
larimer,382,297
otero,381,11
weld,381,145
chaffee,379,17
boulder,378,398
baca,378,3
routt,377,28
ouray,376,5
logan,372,17
montrose,363,26
rio blanco,359,10
la plata,358,60
montezuma,356,23
kit carson,354,3
las animas,353,10
morgan,353,16
archuleta,349,11
lincoln,349,1
rio grande,348,13
gilpin,346,2
eagle,345,43
washington,340,1
delta,337,24
saguache,331,2
park,331,3
crowley,322,1
bent,320,1
lake,314,6
costilla,313,
grand,313,10
pitkin,311,13
gunnison,300,13
sedgwick,299,2
san miguel,285,6
conejos,281,5
jackson,262,1
summit,246,22
dolores,239,
san juan,,1
